Id,BC,CH4,CO,CO2,Latitude,Longitude,N2O,NH3,NMVOC,NOx,OC,PM10,PM2.5,SO2,SPF
11109,0.027937169509318804,0.21868731716145162,3.68445991888337,162.6799480908771,,,0.0059852557471228,0.031138485498984864,0.303137675312679,0.0818225574865446,0.10582669092330783,0.27210074180528127,0.12409051165206422,0.0149393253613608,
11110,0.027937162704246,0.218687264387327,3.656502374594085,162.67990883257923,,,0.0059852543027472,0.0311384708981648,0.215683506049785,0.079825633801868,0.1058266653844044,0.2390771041961836,0.1142093343519208,0.0146065044329906,
11111,0.0279371694461078,0.2186873171614516,3.65650325698983,162.6799480908771,,,0.0059852557471228,0.0311384784125738,0.2156835580990356,0.0798256530655776,0.105826690922744,0.2390771618908322,0.1142093619131858,0.0146065079578664,
11112,0.027937162704246,0.218687264387327,4.180679020912699,162.67990883257923,,,0.0059852543027472,0.0311384708981648,0.3463768801496096,2.4528514611969157,0.1058266653844044,2.398263071548692,1.5208567663817372,5.659948299698278,
11113,0.027937166075177,0.2186872907743892,4.180679462110572,162.67992846172817,,,0.005985255024935,0.0311384746553694,0.346376906174235,2.45285147082877,0.1058266781535742,2.3982631003960164,1.5208567801623698,5.659948301460717,
11114,0.027937166075177,0.2186872907743892,3.656502815791957,162.67992846172817,,,0.005985255024935,0.0311384746553694,0.2156835320744104,0.0798256434337228,0.1058266781535742,0.239077133043508,0.1142093481325532,0.0146065061954286,
11115,0.027937169509318804,0.21868731716145162,3.68445991888337,162.6799480908771,,,0.0059852557471228,0.031138485498984864,0.303137675312679,0.0818225574865446,0.10582669092330783,0.27210074180528127,0.12409051165206422,0.0149393253613608,
11116,0.0279371678238534,0.21868730396792044,3.6844596982844338,162.67993827630266,,,0.005985255386029,0.031138483620382667,0.3031376623003664,0.0818225526706172,0.10582668453872303,0.2721007273816193,0.12409050476174802,0.014939324480142,
11117,0.027937162767457002,0.21868726438732702,3.6844590364876244,162.67990883257923,,,0.0059852543027472,0.031138477984575866,0.3031376232634284,0.081822538222835,0.10582666538496822,0.2721006841106327,0.12409048409079922,0.014939321836485,
11118,0.0279371678238534,0.21868730396792044,3.6844596982844338,162.67993827630266,,,0.005985255386029,0.031138483620382667,0.3031376623003664,0.0818225526706172,0.10582668453872303,0.2721007273816193,0.12409050476174802,0.014939324480142,
11119,0.0279371643897114,0.2186872775808582,3.656502595193021,162.6799186471537,,,0.0059852546638412,0.0311384727767672,0.2156835190620978,0.0798256386177954,0.1058266717689894,0.2390771186198458,0.114209341242237,0.0146065053142096,
11120,0.027937169509318804,0.21868731716145162,4.208636565201985,162.6799480908771,,,0.0059852557471228,0.031138485498984864,0.3563614543036958,2.4548483848815916,0.10582669092330783,2.398352191488083,1.520857588380969,5.660281120626649,
11121,0.0279371644529224,19.55825594019484,4.208635903405176,162.6799186471537,,,0.0059852546638412,0.031138479863178265,0.3563614152667579,2.4548483704338095,0.10582667176955322,2.3983521482170973,1.52085756771002,5.660281117982991,
11122,0.027937169509318804,0.21868731716145162,4.208636565201985,162.6799480908771,,,0.0059852557471228,0.031138485498984864,0.3563614543036958,2.4548483848815916,0.10582669092330783,2.398352191488083,1.520857588380969,5.660281120626649,
11123,0.027937161081991603,19.558255913807777,3.684458815888689,162.67989901800476,,,0.0059852539416534,0.031138476105973666,0.3031376102511157,0.0818225334069076,0.10582665900038343,0.27210066968697066,0.12409047720048302,0.014939320955266,
11124,0.027725008176295002,19.556595217656568,3.6566915865651928,161.4445189000359,,,0.005939802329222,0.030902012684475667,0.3014997244355911,0.0812163429952534,0.10502301853054903,0.2702851344847135,0.12322317931497681,0.0148284001581064,
11125,0.026840256803572604,19.549669537357108,3.5408925868767596,156.2925543223267,,,0.0057502533039146,0.029915878009194465,0.2946691711660525,0.078688318233673,0.10167155838190423,0.2627137215118451,0.11960624561217781,0.0143658218718082,
11126,0.0526170354160952,0.4118770271450886,7.438813847273501,306.3924065899087,,,0.0112726671844808,0.05864640727487707,0.5468976252085189,2.5253668537400675,0.1993146352323926,2.6095544146846943,1.6217508353777081,5.673184598857032,
11127,0.1017497756533724,0.529312616991883,9.576534484375358,390.71934823022656,,,0.0424585166484646,0.07494591519408422,0.764012044998079,3.4635999727629465,0.26526850926054224,2.8498926089691135,1.789662165256966,5.680756043024471,
11128,0.101670801484778,0.5286944208969532,9.566198100611045,390.2594765287556,,,0.0424415972322952,0.07485789140739843,0.7634023400774276,3.4633743176694507,0.2649693531507276,2.849216773855371,1.7893393125993196,5.680714752627308,
11129,0.0676905843132958,0.529870153642376,8.887509962575631,394.1666586261514,,,0.0145020224468506,0.07544722805386786,0.6100462892310862,0.195411097815793,0.256413612397209,0.6122974680748394,0.2866056206859516,0.0357237706433634,
11130,0.0676905843132958,0.529870153642376,8.887509962575631,394.1666586261514,,,0.0145020224468506,0.07544722805386786,0.6100462892310862,0.195411097815793,0.256413612397209,0.6122974680748394,0.2866056206859516,0.0357237706433634,
11131,0.0676905909919466,0.5298702064165006,8.859554183077837,394.1666978844494,,,0.0145020238912264,0.0754472284818658,0.5225922240666934,0.1934142126585354,0.2564136379349848,0.579273945855039,0.2767244985083382,0.035390956764745,
11132,0.06769057757143399,0.5298701008682514,8.887509080179886,394.1666193678536,,,0.014502021002475,0.07544722053945888,0.6100462371818356,0.1954110785520834,0.25641358685886945,0.6122974103801908,0.28660559312468664,0.0357237671184874,
11133,0.06769057757143399,0.5298701008682514,8.887509080179886,394.1666193678536,,,0.014502021002475,0.07544722053945888,0.6100462371818356,0.1954110785520834,0.25641358685886945,0.6122974103801908,0.28660559312468664,0.0357237671184874,
11134,0.0676905909919466,0.5298702064165006,8.859554183077837,394.1666978844494,,,0.0145020238912264,0.0754472284818658,0.5225922240666934,0.1934142126585354,0.2564136379349848,0.579273945855039,0.2767244985083382,0.035390956764745,
11135,0.05693557541423241,0.4456818092676606,7.4798610901928715,331.5395448524509,,,0.0121978706626962,0.06345980702767726,0.5270143059368748,0.1646805110700608,0.21567337187899463,0.5202596183328021,0.24263829228132722,0.030100684046342998,
11241,0.0199442928806138,0.1561204656455028,2.610370818597138,116.13690988939926,,,0.0042728628544946,0.022229701348773,0.1539760876834052,0.0569873840367872,0.075549476206633,0.1706767375633676,0.08153384930777,0.0104275586414246,
